5beed91708	Moreover, the bile acid profile is associated with the severity of liver disease, with @CHEMICAL$ (GDCA), which allows us to differentiate patients with non-cirrhotic liver involvement from those with no detectable @DISEASE$.	other
d23e19a185	Exclusion criteria included cases of psoriatic arthritis without cutaneous involvement, diagnosis of other diseases that could alter the coagulation cascade, use of anticoagulant therapy at the time of study, patients with @DISEASE$ (body mass index >30 kg/m2), diabetes mellitus, dyslipidemia, hypertension or severe cardiovascular disease, any history of previous venous thromboembolic disease, chronic hepatic or renal diseases, autoimmune disorders, neoplasms or recent trauma, patients on medications known to cause significant hyperhomocysteinemia such as phenytoin, carbamazepine, @CHEMICAL$, azathioprine, metformin, and thiazide diuretics.	other
973c89fc1e	Abnormal sympathetic excitability may also play an essential role in the causal pathway from SBP to ALS, which elevates SBP and aggravates @CHEMICAL$ tension in @DISEASE$.	other
8a05ec01c5	Anyway, as a precaution, it is possible to suggest that [1) @DISEASE$ is still possible even after modulating estrogen production with @CHEMICAL$ and using GnRH-ant and that the use of GnRH-a triggering is to be preferred due to the necessity to prevent comorbidities and delays in adjuvant therapy and [2) it is advisable to postpone GnRH-a depot for minimizing the risk for OHSS.	other
1d986eb26a	Treatment with the Wnt signaling inhibitor was able to overcome CTTN-induced @CHEMICAL$ resistance in HER2+ @DISEASE$.	resistance_is_associated_with
2e35808dda	In this report, we describe pCjH01, a plasmid from a C. jejuni isolated from a patient with @DISEASE$ that confers resistance to tetracycline, @CHEMICAL$, and gentamycin.	other
bb210925e5	The lncRNA CASC9 inhibits the oncogenic molecule DUSP1 by enhancing EZH2 expression, which in turn increases resistance to @CHEMICAL$ in @DISEASE$.	resistance_is_associated_with
48dbf7fa2b	These results further support our conclusion in the previous study that CRL4CUL4A/DDB1 plays a critical role in promoting OC progression and in @DISEASE$ @CHEMICAL$ resistance.	resistance_is_associated_with
1446fd8438	Most recently, the NUVOLA trial is recruiting patients to evaluate neoadjuvant @CHEMICAL$ and weekly TC (carboplatin plus paclitaxel) in unresectable @DISEASE$.	other
ba168e023e	Moreover, @CHEMICAL$ induces oxidative stress and inflammation in tissues, increasing the risk of @DISEASE$ progression.	increases_risk_for
d6bbf2ebac	If an animal was treated for hypoglycaemia during the day, it was also treated with @CHEMICAL$ orally in the late afternoon to prevent @DISEASE$ during the night.	prevents
0eaec73fe1	The exclusion criteria were @CHEMICAL$ PET/CT realized outside of the Cancer Institute Jean Godinot, other associated malignancies, a histology other than @DISEASE$, chemotherapy associated with immunotherapy, any other treatment received between 18F-FDG PET/CT and immunotherapy initiation, and no target lesion visible in the 18F-FDG PET/CT.	other
c5b6ad5041	A @CHEMICAL$ Diet Prevents Paclitaxel-Induced @DISEASE$ in Mice	prevents
d9fa1a41f8	Low dose @CHEMICAL$ challenge (1-2 mg/kg) induces systemic inflammation (“cytokine storm”) and neuroinflammation and exacerbates @DISEASE$ symptoms in Shank3 +/- mice.	exacerbates
48ec8447e3	A possible case of @CHEMICAL$-induced mild @DISEASE$	has_unintended_effect_of
1aca9da296	They could bind to proteins through covalent bonds with @CHEMICAL$ residues via Michael addition reactions and result in @DISEASE$.	other
e919fb3cfa	Despite use of carvedilol and @CHEMICAL$, the patient had recurrent @DISEASE$ resulting in therapies from his device and underwent an endocardial and epicardial ablation, which resulted in adequate control of his VT.	other
a744d83f95	In addition, chronic @DISEASE$ impairs @CHEMICAL$ secretion and pDC maturation in response to TLR7 ligands.	other
046bd0e907	However, it should now be recognized that @CHEMICAL$ positivity does not exclude the diagnosis of @DISEASE$, and, equally important, 5-ALA should be considered as a surgical tool to improve the likelihood of a gross-total resection, as in this case.	other
fb495d2943	Primary DLP refers to inherited family hypercholesterolemia (FH) and hypertriglyceridemia. FH is a dominant, autosomal genetic @DISEASE$ which is characterized by higher levels of @CHEMICAL$ at birth.	other
6b9e478ec0	However, @DISEASE$ is an emerging adverse effect of @CHEMICAL$ infusion.	has_unintended_effect_of
de57e65f29	@CHEMICAL$ did not produce effects on brain responses to emotional faces and cognitive measures of emotional processing, or modulate experimentally induced @DISEASE$, relative to placebo.	other
f3fd509db9	We found that although total inflammation had no statistically significant association with pathological zinc levels, children presenting zinc deficiency had 1.9 more chances of having non-malarial inflammation than children with normal levels of zinc, possibly corroborating the participation of @CHEMICAL$ in the nutritional immunity to pathogens other than @DISEASE$.	other
37b5934089	Our finding of higher gram-positive resistomes and vancomycin resistance ARGs in cirrhosis extends prior studies of @CHEMICAL$-related liver disease into the @DISEASE$ realm and could reflect the key role of the liver in clearing grampositive bacterial translocation.	other
21d0ba4f24	In the entire 24-week treatment period, among patients without diabetes mellitus, those with new or worsening RHs in the @CHEMICAL$ and DA groups were similar (21.1% and 29.5% with a difference of −8.4% [95% CI: −20.8% to 4.1%, P = 0.192], respectively) (Figure 4a), in patients with DD CKD, and lower in the roxadustat group in patients with NDD @DISEASE$: 12.3% and 29.0% with a difference of −16.8% (95% CI: −30.9% to −2.6%, P = 0.025) (Figure 4b), respectively.	other
48433ab1e8	Here, we injected 500 mg/kg of @CHEMICAL$, a drug for epilepsy and mood swings and an environmental risk factor during pregnancy associated with developing @DISEASE$ in offspring, on day 12.5 of pregnancy.	increases_risk_for
d359fba8f9	Patients with HTG often have DM and pharmacologic therapies aimed at treating @DISEASE$, such as glucagon-like peptide-1 receptor agonists (GLP1-RA), sodium glucose transporter-2 inhibitors (SGLT2i), and metformin, can enable weight loss, improve glycemic control, lower @CHEMICAL$, and reduce ASCVD risk.	other
3c0a3a9d06	In vivo and in vitro evidence has demonstrated that @CHEMICAL$ is efficient in providing protection against unilateral ureteral occlusion (UUO)- or ischemia–reperfusion (I/R)-caused @DISEASE$ by normalizing the FAO gene program dependent on autophagy.	prevents
3edbdec142	Moreover, the level of tryptophan was relatively lower in mice with @DISEASE$, whereas @CHEMICAL$, Li01, and the RSV+Li01 combination treatments increased the concentration of tryptophan.	other
1db9992ced	Two other studies including samples from 1987 to 1989 were conducted well before @CHEMICAL$ was available as a sweetener, reporting elevated levels of it with incident @DISEASE$ and coronary artery disease.	other
aaf6d84a9e	In neuron-specific Pten knockout mice, chronic treatment with @CHEMICAL$ prevented the development of brain hypertrophy and @DISEASE$-related abnormal behavior and reduced S6 phosphorylation.	prevents
995aba0f9c	Combination of C-reactive protein, infliximab trough levels, and stable but not transient antibodies to infliximab are associated with loss of response to @CHEMICAL$ in @DISEASE$	other
f7ec0afc0a	Although the MR study did not identify an association between genetically predicted alcohol consumption with breast cancer risk, the prospective cohort studies have suggested that higher @CHEMICAL$ intake was associated increased @DISEASE$ risk.	increases_risk_for
6aca03861e	Association of total @DISEASE$ and lung cancer with environmental exposure to @CHEMICAL$: The meta-analytical evidence	other
501f1b82b3	For @DISEASE$ women, the clinical and ongoing pregnancies were significantly increased with @CHEMICAL$.	other
